"","lizard_id","clutch","age","temp","cort","choice_slope__mean","choice_slope__sd","choice_slope__se","errors_slope__mean","errors_slope__sd","errors_slope__se"
"1",2851,"CL786_24",60,"Cold","CORT",-0.0111920747116748,0.0135009619031776,8.71483343479792e-05,0.00617244838259892,0.0113806344579946,7.34616795418125e-05
"2",2873,"CL794_24",58,"Cold","Control",0.000744207260661492,0.0121016153471815,7.81155911697368e-05,-0.0206632988822481,0.0114661767036183,7.40138523629754e-05
"3",2885,"CL797_24",62,"Cold","CORT",0.00354461522378221,0.0119782908014949,7.73195346503656e-05,-0.0118024792339361,0.0109074326605351,7.04071750735522e-05
"4",2904,"CL802_24",60,"Cold","Control",-0.00397048949895076,0.0123933034138903,7.99984295441544e-05,-0.0139637871247448,0.011527786969711,7.44115449205292e-05
"5",2908,"CL803_24",58,"Cold","Control",0.000483296205485807,0.0122835002526313,7.92896531859596e-05,0.0127531658115967,0.0104607356699297,6.75237583978596e-05
"6",2911,"CL803_24",58,"Cold","CORT",0.0102644456247986,0.0122952484167363,7.93654872591714e-05,-0.0223633229233527,0.0117100845810173,7.55882709416004e-05
"7",2919,"CL806_24",62,"Cold","CORT",-0.000376618920564841,0.0123307294928181,7.95945166204553e-05,-0.0127479168672944,0.0113386775742249,7.31908490216476e-05
"8",2922,"CL807_24",58,"Cold","Control",-0.00420680064968455,0.0128019637154227,8.26363204476393e-05,0.00899000216810295,0.0102100291209195,6.590545458269e-05
"9",2924,"CL807_24",60,"Cold","CORT",0.00848272230698642,0.0130889382117201,8.4488732855883e-05,-0.0249157285381463,0.0124336866568205,8.02591022563783e-05
"10",2925,"CL807_24",76,"Hot","CORT",0.0160130129784688,0.013982800912804,9.02585917810398e-05,-0.0184178247312585,0.0125311134327143,8.08879893905639e-05
"11",2926,"CL808_24",58,"Cold","Control",-0.0037429912897427,0.0119959403994114,7.74334623150285e-05,-0.00645863402599945,0.00996578661773294,6.4328876003894e-05
"12",2928,"CL808_24",58,"Cold","Control",-0.00718287282966441,0.0131598624301435,8.49465467172105e-05,0.00210446996624015,0.0121787297089337,7.86133622344365e-05
"13",2930,"CL808_24",58,"Cold","CORT",0.00579521815127775,0.0121598656518261,7.84915952694036e-05,-0.0329620457522139,0.0127210501676186,8.21140257424264e-05
"14",2931,"CL808_24",76,"Hot","CORT",-0.00603053581402154,0.0126800813790753,8.18495733495225e-05,-0.0280082435897019,0.0116685726365762,7.53203124924523e-05
"15",2950,"CL813_24",76,"Hot","CORT",-0.00414672969420194,0.012532882013276,8.08994055290007e-05,-0.0130265162328631,0.0123182833676234,7.95141772277821e-05
"16",2951,"CL813_24",76,"Hot","CORT",-0.0120436920195144,0.0137451385456405,8.87244877976319e-05,-0.0111223903286439,0.0115009499367509,7.42383126176694e-05
"17",2952,"CL813_24",58,"Cold","Control",-0.0012006346183249,0.012263336829193,7.91594988473275e-05,-0.0280149150397838,0.0120295473836475,7.76503944654665e-05
"18",2953,"CL813_24",60,"Cold","CORT",0.00115553164307433,0.012936975066884,8.35078149739035e-05,-0.024358089963742,0.0122113172417194,7.88237138540582e-05
"19",2958,"CL815_24",55,"Cold","CORT",-0.00381606251755818,0.0125212915251952,8.08245892501483e-05,-0.0029291008733143,0.011442296167502,7.38597041651805e-05
"20",2959,"CL815_24",58,"Cold","Control",0.00364058635989256,0.0120086394235442,7.75154341633276e-05,-0.00631530322806041,0.0117939245336917,7.61294555090253e-05
"21",2960,"CL815_24",55,"Cold","CORT",0.0205755034724837,0.0140981797967757,9.10033592745837e-05,-0.0279879165172223,0.0128966977518867,8.32478260235463e-05
"22",2961,"CL815_24",76,"Hot","CORT",0.00616054167074235,0.0122106888163001,7.88196573854192e-05,-0.00488428453008292,0.0103845557501561,6.70320191301948e-05
"23",2967,"CL817_24",55,"Cold","CORT",-0.011197659908811,0.0136698175058595,8.82382925764804e-05,-0.016094154553642,0.0119072712866644,7.68611056533753e-05
"24",2968,"CL817_24",58,"Cold","Control",-0.00306836701642763,0.0123813074763859,7.99209961005267e-05,0.00535292005383106,0.0109658030591789,7.07839543766505e-05
"25",2970,"CL817_24",76,"Hot","CORT",-0.00190432743363799,0.0126648995239496,8.17515748960783e-05,-0.00608542059330643,0.0110649099107022,7.14236863523919e-05
"26",2971,"CL817_24",58,"Cold","Control",-0.00692155970078375,0.0127950113336202,8.25914430160771e-05,0.00246323622582545,0.0106445787937375,6.87104606592299e-05
"27",2981,"CL820_24",53,"Cold","CORT",0.00991671987577247,0.0124205356215882,8.01742126889783e-05,-0.00493027612915497,0.0119736949307454,7.72898684322421e-05
"28",2982,"CL820_24",69,"Hot","Control",0.0142292637110616,0.0127533661014591,8.23226241983956e-05,-0.0129271082078274,0.0122337054547381,7.8968229147679e-05
"29",2983,"CL820_24",53,"Cold","Control",-0.0188965212875967,0.0153430728309326,9.90391092564156e-05,0.00521516748001947,0.0106417599393485,6.86922650323901e-05
"30",2984,"CL820_24",72,"Hot","Control",0.000660122849895695,0.0123364102584647,7.96311858050267e-05,-0.0146982383811756,0.0114866828749976,7.41462191300526e-05
"31",2993,"CL822_24",72,"Hot","CORT",0.0140591027498438,0.0130221892939055,8.40578704440942e-05,-0.0109518056139243,0.0120470916628558,7.77636423007913e-05
"32",2995,"CL822_24",53,"Cold","CORT",-0.00824004250107927,0.0129144377377392,8.33623371398276e-05,-0.0018605409890785,0.0108889363600537,7.02877819673341e-05
"33",2997,"CL822_24",69,"Hot","Control",0.00439429134951096,0.0121033331455349,7.81266795104284e-05,-0.0130731497432249,0.0123977007284002,8.00268140872628e-05
