"","lizard_id","clutch","age","temp","cort","choice_slope__mean","choice_slope__sd","choice_slope__se","errors_slope__mean","errors_slope__sd","errors_slope__se","choice_intercept__mean","choice_intercept__sd","choice_intercept__se"
"1",2851,"CL786_24",60,"Cold","CORT",-0.0111920747116748,0.0135009619031776,8.71483343479792e-05,0.00617244838259892,0.0113806344579946,7.34616795418125e-05,-1.19158720524779,0.236685474225946,0.00152779816661049
"2",2873,"CL794_24",58,"Cold","Control",0.000744207260661492,0.0121016153471815,7.81155911697368e-05,-0.0206632988822481,0.0114661767036183,7.40138523629754e-05,-1.15132944258892,0.225917325766161,0.00145829006718676
"3",2885,"CL797_24",62,"Cold","CORT",0.00354461522378221,0.0119782908014949,7.73195346503656e-05,-0.0118024792339361,0.0109074326605351,7.04071750735522e-05,-1.20017182055656,0.224668312487042,0.00145022772113806
"4",2904,"CL802_24",60,"Cold","Control",-0.00397048949895076,0.0123933034138903,7.99984295441544e-05,-0.0139637871247448,0.011527786969711,7.44115449205292e-05,-1.22594872120703,0.229189545125285,0.00147941215232514
"5",2908,"CL803_24",58,"Cold","Control",0.000483296205485807,0.0122835002526313,7.92896531859596e-05,0.0127531658115967,0.0104607356699297,6.75237583978596e-05,-1.26151293448652,0.235111302977361,0.00151763693489407
"6",2911,"CL803_24",58,"Cold","CORT",0.0102644456247986,0.0122952484167363,7.93654872591714e-05,-0.0223633229233527,0.0117100845810173,7.55882709416004e-05,-1.1311051993567,0.23362175673139,0.00150802195522065
"7",2919,"CL806_24",62,"Cold","CORT",-0.000376618920564841,0.0123307294928181,7.95945166204553e-05,-0.0127479168672944,0.0113386775742249,7.31908490216476e-05,-1.1130524812562,0.232308468880468,0.001499544718595
"8",2922,"CL807_24",58,"Cold","Control",-0.00420680064968455,0.0128019637154227,8.26363204476393e-05,0.00899000216810295,0.0102100291209195,6.590545458269e-05,-1.29416739658485,0.244496479366161,0.00157821798798581
"9",2924,"CL807_24",60,"Cold","CORT",0.00848272230698642,0.0130889382117201,8.4488732855883e-05,-0.0249157285381463,0.0124336866568205,8.02591022563783e-05,-1.29133648945822,0.257297064723598,0.00166084541117091
"10",2925,"CL807_24",76,"Hot","CORT",0.0160130129784688,0.013982800912804,9.02585917810398e-05,-0.0184178247312585,0.0125311134327143,8.08879893905639e-05,-1.19739604094702,0.248850890015324,0.00160632558786374
"11",2926,"CL808_24",58,"Cold","Control",-0.0037429912897427,0.0119959403994114,7.74334623150285e-05,-0.00645863402599945,0.00996578661773294,6.4328876003894e-05,-1.18880186795924,0.224677707777831,0.00145028836747933
"12",2928,"CL808_24",58,"Cold","Control",-0.00718287282966441,0.0131598624301435,8.49465467172105e-05,0.00210446996624015,0.0121787297089337,7.86133622344365e-05,-1.12763827030005,0.244589172541261,0.00157881631985826
"13",2930,"CL808_24",58,"Cold","CORT",0.00579521815127775,0.0121598656518261,7.84915952694036e-05,-0.0329620457522139,0.0127210501676186,8.21140257424264e-05,-1.20856180650368,0.22822860925143,0.00147320933793145
"14",2931,"CL808_24",76,"Hot","CORT",-0.00603053581402154,0.0126800813790753,8.18495733495225e-05,-0.0280082435897019,0.0116685726365762,7.53203124924523e-05,-1.29686989159735,0.24109253883242,0.00155624564632138
"15",2950,"CL813_24",76,"Hot","CORT",-0.00414672969420194,0.012532882013276,8.08994055290007e-05,-0.0130265162328631,0.0123182833676234,7.95141772277821e-05,-1.20814391516681,0.226908927211189,0.00146469082699121
"16",2951,"CL813_24",76,"Hot","CORT",-0.0120436920195144,0.0137451385456405,8.87244877976319e-05,-0.0111223903286439,0.0115009499367509,7.42383126176694e-05,-1.28713149920266,0.250851044625646,0.00161923653035643
"17",2952,"CL813_24",58,"Cold","Control",-0.0012006346183249,0.012263336829193,7.91594988473275e-05,-0.0280149150397838,0.0120295473836475,7.76503944654665e-05,-1.18318637597871,0.225887168394399,0.0014580954021891
"18",2953,"CL813_24",60,"Cold","CORT",0.00115553164307433,0.012936975066884,8.35078149739035e-05,-0.024358089963742,0.0122113172417194,7.88237138540582e-05,-1.31912054711353,0.257312594705004,0.00166094565676983
"19",2958,"CL815_24",55,"Cold","CORT",-0.00381606251755818,0.0125212915251952,8.08245892501483e-05,-0.0029291008733143,0.011442296167502,7.38597041651805e-05,-1.10791553376342,0.242923239515746,0.00156806276841873
"20",2959,"CL815_24",58,"Cold","Control",0.00364058635989256,0.0120086394235442,7.75154341633276e-05,-0.00631530322806041,0.0117939245336917,7.61294555090253e-05,-1.15862846088323,0.228732908789669,0.00147646457745328
"21",2960,"CL815_24",55,"Cold","CORT",0.0205755034724837,0.0140981797967757,9.10033592745837e-05,-0.0279879165172223,0.0128966977518867,8.32478260235463e-05,-0.956013465626185,0.311909686640953,0.00201336836980197
"22",2961,"CL815_24",76,"Hot","CORT",0.00616054167074235,0.0122106888163001,7.88196573854192e-05,-0.00488428453008292,0.0103845557501561,6.70320191301948e-05,-1.06527595102727,0.24770763960918,0.00159894593822451
"23",2967,"CL817_24",55,"Cold","CORT",-0.011197659908811,0.0136698175058595,8.82382925764804e-05,-0.016094154553642,0.0119072712866644,7.68611056533753e-05,-1.20740857676889,0.241011013172261,0.00155571940044791
"24",2968,"CL817_24",58,"Cold","Control",-0.00306836701642763,0.0123813074763859,7.99209961005267e-05,0.00535292005383106,0.0109658030591789,7.07839543766505e-05,-1.25217802706888,0.229608288908354,0.00148211513182206
"25",2970,"CL817_24",76,"Hot","CORT",-0.00190432743363799,0.0126648995239496,8.17515748960783e-05,-0.00608542059330643,0.0110649099107022,7.14236863523919e-05,-1.30108062545244,0.244824967237449,0.00158033836807736
"26",2971,"CL817_24",58,"Cold","Control",-0.00692155970078375,0.0127950113336202,8.25914430160771e-05,0.00246323622582545,0.0106445787937375,6.87104606592299e-05,-1.23090399447356,0.233429154738235,0.00150677871470076
"27",2981,"CL820_24",53,"Cold","CORT",0.00991671987577247,0.0124205356215882,8.01742126889783e-05,-0.00493027612915497,0.0119736949307454,7.72898684322421e-05,-1.11677561777358,0.23493047542703,0.00151646969807579
"28",2982,"CL820_24",69,"Hot","Control",0.0142292637110616,0.0127533661014591,8.23226241983956e-05,-0.0129271082078274,0.0122337054547381,7.8968229147679e-05,-1.0716535666726,0.250073273903004,0.00161421604192983
"29",2983,"CL820_24",53,"Cold","Control",-0.0188965212875967,0.0153430728309326,9.90391092564156e-05,0.00521516748001947,0.0106417599393485,6.86922650323901e-05,-1.39980598084373,0.300338171206008,0.0019386745588521
"30",2984,"CL820_24",72,"Hot","Control",0.000660122849895695,0.0123364102584647,7.96311858050267e-05,-0.0146982383811756,0.0114866828749976,7.41462191300526e-05,-1.29278304081342,0.242460123113826,0.00156507336489874
"31",2993,"CL822_24",72,"Hot","CORT",0.0140591027498438,0.0130221892939055,8.40578704440942e-05,-0.0109518056139243,0.0120470916628558,7.77636423007913e-05,-1.00118045587151,0.273901141322372,0.00176802426474792
"32",2995,"CL822_24",53,"Cold","CORT",-0.00824004250107927,0.0129144377377392,8.33623371398276e-05,-0.0018605409890785,0.0108889363600537,7.02877819673341e-05,-1.2291609272384,0.231675916401672,0.0014954616099017
"33",2997,"CL822_24",69,"Hot","Control",0.00439429134951096,0.0121033331455349,7.81266795104284e-05,-0.0130731497432249,0.0123977007284002,8.00268140872628e-05,-1.19237267376177,0.226072336780279,0.00145929065898036
"34",3009,"CL825_24",58,"Cold","Control",0.00212259385261563,0.0124716579844595,8.0504206122344e-05,-0.0297248529915974,0.012300592549955,7.93999834907648e-05,-1.28884110212353,0.244667681430128,0.00157932309255678
"35",3014,"CL827_24",74,"Hot","Control",0.000657110056092271,0.0120851250080218,7.80091464881719e-05,0.01616889820182,0.0109529509335995,7.0700994262763e-05,-1.1861503356014,0.225620109186062,0.00145637154241186
"36",3023,"CL830_24",74,"Hot","CORT",-0.00646099321249701,0.0129813340597125,8.37941510413692e-05,-0.011255390010512,0.0113874315338304,7.35055544776705e-05,-1.32280271259123,0.250118660181919,0.00161450900910047
"37",3024,"CL830_24",76,"Hot","Control",0.000395582281252124,0.0126795109107268,8.18458909921668e-05,-0.0224978239906255,0.0111108945526902,7.17205159400598e-05,-1.32097420710961,0.255733415587843,0.00165075209940076
"38",3025,"CL830_24",58,"Cold","Control",-0.000230978434188183,0.0124803383866842,8.05602378777687e-05,-0.00718985426488533,0.0111184152445356,7.17690617971748e-05,-1.11685113516791,0.233592494539324,0.00150783306858308
"39",3029,"CL831_24",76,"Hot","Control",0.0180200861353319,0.0133334942816661,8.60673354994075e-05,-0.02214109146387,0.0133656918772903,8.62751700854753e-05,-0.991659919919442,0.283168192953469,0.00182784282580739
"40",3031,"CL831_24",55,"Cold","Control",0.00388770125859617,0.0119358953892028,7.70458734407604e-05,-0.0178038966916814,0.0115236878293759,7.43850850834435e-05,-1.10975096562251,0.23333488604608,0.00150617021290946
"41",3033,"CL831_24",74,"Hot","Control",-0.00298992344870833,0.0123006022081066,7.94000458338648e-05,-0.012365864178895,0.0119318186328005,7.70195580913396e-05,-1.25982058876799,0.23100567771432,0.0014911352377782
"42",3034,"CL831_24",58,"Cold","CORT",-0.00637813464689803,0.0126295756649089,8.15235603664311e-05,-0.00415094258267825,0.0107163265117664,6.91735901876538e-05,-1.27794938718212,0.235349330986599,0.00151917339908692
"43",3038,"CL833_24",58,"Cold","Control",0.00323378515772838,0.0120639560308723,7.78725013282452e-05,0.000481720113383424,0.0109482848498441,7.06708748216356e-05,-1.17505682700526,0.22485317475867,0.00145142100197033
"44",3039,"CL833_24",55,"Cold","CORT",0.0127723195707984,0.0130286168172236,8.40993599287079e-05,-0.00875842570966932,0.0114248865979294,7.37473258768147e-05,-1.19828631520634,0.242113923247151,0.00156283865436859
"45",3040,"CL833_24",76,"Hot","Control",-0.000676375103809335,0.012481383473129,8.05669838817619e-05,-0.00584177410611627,0.0118873575725176,7.67325631812889e-05,-1.27167166609846,0.237172633380015,0.00153094276542826
"46",3041,"CL833_24",76,"Hot","CORT",-0.0113310475011417,0.0136927773185615,8.83864975301919e-05,0.00602628119305937,0.0110743631996245,7.14847070699966e-05,-1.33839727480298,0.262683057836748,0.00169561184722094
"47",3042,"CL834_24",53,"Cold","Control",0.0139272358003073,0.0127711919547149,8.24376895863815e-05,-0.0245034166633091,0.0133592462936516,8.62335640219929e-05,-1.13239300764239,0.239546863152676,0.0015462683527109
"48",3051,"CL836_24",72,"Hot","CORT",-0.00760084710803271,0.0129703407242139,8.37231893658604e-05,-0.015048004326976,0.0107976468506585,6.9698510718049e-05,-1.27941757218575,0.240360536904895,0.00155152059419689
"49",3065,"CL842_24",55,"Cold","Control",0.00400873593718697,0.0120244300986628,7.76173625329268e-05,-0.0211337258219171,0.0125465967740946,8.09879339294133e-05,-1.20281681981403,0.225741777447968,0.0014571569076654
"50",3078,"CL846_24",53,"Cold","Control",0.00915159430926353,0.0133002860514817,8.58529772953057e-05,-0.00905294095613758,0.0117066001307326,7.55657789117282e-05,-0.947556881530043,0.301511119924143,0.00194624591027092
"51",3079,"CL846_24",69,"Hot","Control",0.00600605847170234,0.0119748435767402,7.72972829102564e-05,-0.00266852330712562,0.0121518292444286,7.84397204827135e-05,-1.15717435900918,0.221329140066128,0.0014286734558442
"52",3081,"CL846_24",69,"Hot","CORT",-0.0106785553319601,0.0136548584774946,8.81417324635931e-05,-0.00852714124819009,0.0114214959279933,7.37254391964895e-05,-1.37439192076454,0.273572506198,0.0017659029341418
