"","Treatment","Mean","SD","SE"
"1","CORT-Cold (n=20)",0.00271440360177791,0.0128407354889772,8.28865911697719e-05
"2","Control-Cold (n=20)",-0.00107968042256773,0.0126503295242576,8.16575259524763e-05
"3","CORT-Hot (n=19)",-0.0016778560756999,0.0131640232996709,8.49734050145199e-05
"4","Control-Hot (n=20)",0.00189135530652538,0.0126804348440626,8.18518549562046e-05
