"","Treatment","Mean","SD","SE"
"1","CORT-Cold (n=20)",-0.0117575580688841,0.0117954290528164,7.61391671382152e-05
"2","Control-Cold (n=20)",-0.00797875478336725,0.0113686585700969,7.33843755178392e-05
"3","CORT-Hot (n=19)",-0.0115858514742973,0.011493430521668,7.41897750020205e-05
"4","Control-Hot (n=20)",-0.00924793701243219,0.0117147901454212,7.56186452292182e-05
