"","lizard_id","trt","sex","current_enclosure","egg_id","clutch","egg_enclosure","egg_date","hatch_date","death_date","liz_status","mortality","notes","maze","group","day","batch","choice","errors","arm_chosen","obs","temp","cort","first_non_na"
"29",3029,"A_28",NA,"E773_23","EG3029","CL831_24","E033_F120","4/12/2023","1/1/2024",NA,"ALIVE",0,"",2,"B",1,19,1,0,"NW","","Hot","Control",1
"30",3042,"A_23",NA,"E1101_23","EG3042","CL834_24","E027_F120","6/12/2023","24/1/2024",NA,"ALIVE",0,"",4,"B",1,19,1,0,"S","","Cold","Control",1
"31",3082,"A_28",NA,"E197_23","EG3082","CL847_24","E001_F120","8/12/2023","10/1/2024",NA,"ALIVE",0,"",1,"C",1,18,1,0,"SE","","Hot","Control",1
"32",2997,"A_28",NA,"E510_23","EG2997","CL822_24","E051_F120","4/12/2023","8/1/2024",NA,"ALIVE",0,"Dented",4,"D",1,17,1,0,"S","","Hot","Control",1
"33",2960,"B_23",NA,"E387_23","EG2960","CL815_24","E017_M, E007_M","1/12/2023","22/1/2024",NA,"ALIVE",0,"Might be two clutches.",3,"E",1,16,1,0,"SW","","Cold","CORT",1
"34",3154,"A_28",NA,"E510_23","EG3154","CL865_24","E018_M","13/12/2023","12/1/2024",NA,"ALIVE",0,"",1,"J",1,11,1,0,"SE","","Hot","Control",1
"35",2904,"A_23",NA,"E044_23","EG2904","CL802_24","E014_F120","29/11/2023","17/1/2024",NA,"ALIVE",0,"",1,"L",1,9,1,0,"SE","","Cold","Control",1
"36",3212,"B_23",NA,"E4003_23","EG3212","CL872_24","E008_F120","15/12/2023","31/1/2024",NA,"ALIVE",0,"",3,"O",1,6,1,0,"SW","","Cold","CORT",1
"37",3200,"B_23",NA,"E370_23","EG3200","CL874_24","E040_F120","15/12/2023","2/2/2024",NA,"ALIVE",0,"",4,"O",1,6,1,0,"S","","Cold","CORT",1
"38",2993,"B_28",NA,"E569_23","EG2993","CL822_24","E051_F120","4/12/2023","5/1/2024",NA,"ALIVE",0,"",2,"P",1,5,1,0,"NW","","Hot","CORT",1
"39",2919,"B_23",NA,"E745_23","EG2919","CL806_24","E014_M","29/11/2023","15/1/2024",NA,"ALIVE",0,"",3,"P",1,5,1,0,"SW","","Cold","CORT",1
"40",2950,"B_28",NA,"E269_23","EG2950","CL813_24","E036_F120","1/12/2023","1/1/2024",NA,"ALIVE",0,"",4,"P",1,5,1,0,"S","","Hot","CORT",1
"41",3100,"B_23",NA,"E625_23","EG3100","CL851_24","E012_M","8/12/2023","28/1/2024",NA,"ALIVE",0,"",1,"R",1,3,1,0,"SE","","Cold","CORT",1
"42",3033,"A_28",NA,"E095_23","EG3033","CL831_24","E033_F120","4/12/2023","3/1/2024",NA,"ALIVE",0,"",1,"S",1,2,1,0,"SE","","Hot","Control",1
"43",2928,"A_23",NA,"E1025_23","EG2928","CL808_24","E013_M","29/11/2023","19/1/2024",NA,"ALIVE",0,"",2,"S",1,2,1,0,"NW","","Cold","Control",1
"44",2982,"A_28",NA,"E078_23","EG2982","CL820_24","E050_F120","4/12/2023","8/1/2024",NA,"ALIVE",0,"",3,"S",1,2,1,0,"SW","","Hot","Control",1
"45",3176,"B_28",NA,"E524_23","EG3176","CL869_24","E053_F120","15/12/2023","10/1/2024",NA,"ALIVE",0,"",2,"T",1,1,1,0,"NW","","Hot","CORT",1
"46",3195,"B_28",NA,"E284_23","EG3195","CL873_24","E038_F120","15/12/2023","15/1/2024",NA,"ALIVE",0,"",3,"T",1,1,1,0,"SW","","Hot","CORT",1
"47",3029,"A_28",NA,"E773_23","EG3029","CL831_24","E033_F120","4/12/2023","1/1/2024",NA,"ALIVE",0,"",2,"B",1,2,1,0,"NW","","Hot","Control",1
"48",3042,"A_23",NA,"E1101_23","EG3042","CL834_24","E027_F120","6/12/2023","24/1/2024",NA,"ALIVE",0,"",4,"B",1,2,1,0,"S","","Cold","Control",1
"49",3082,"A_28",NA,"E197_23","EG3082","CL847_24","E001_F120","8/12/2023","10/1/2024",NA,"ALIVE",0,"",1,"C",1,3,1,0,"SE","","Hot","Control",1
"50",2951,"B_28",NA,"E115_23","EG2951","CL813_24","E036_F120","1/12/2023","1/1/2024",NA,"ALIVE",0,"",1,"E",1,5,1,0,"SE","","Hot","CORT",1
"51",3086,"A_28",NA,"E234_23","EG3086","CL848_24","E011_M/E024_M","8/12/2023","8/1/2024",NA,"ALIVE",0,"",2,"F",1,6,1,0,"NW","","Hot","Control",1
