"","lizard_id","clutch","age","sex","temp","cort","int_mean","int_sd","slope_mean","slope_sd","mit_density","mit_potential","ROS","DNAdamage","peroxidation"
"1",2851,"CL786_24",60,"f","Cold","CORT",-0.155723698355082,0.253117520448675,0.570870055833418,0.00868997844271309,-0.818602329030377,-0.512482413937902,-0.137543786234266,-0.0946768444754633,0.163680917768789
"2",2873,"CL794_24",58,"m","Cold","Control",0.408457498158697,-0.380406259026784,-0.314899298920464,0.00869868622942629,0.309505663233486,0.285102445754631,0.163874163654481,NA,NA
"3",2885,"CL797_24",62,"f","Cold","CORT",-0.0215198411765896,-0.58195812699537,-0.0603419059414078,0.00814083539082788,-0.258072053569586,-0.140084935501587,0.00947171652230396,NA,NA
"4",2904,"CL802_24",60,"f","Cold","Control",0.403450694890059,-0.387646935049433,-0.0711056057639114,0.0085911500064518,-1.15608742277084,-1.08019197429488,-1.58301366464086,0.308648923603492,0.255969772501005
"5",2908,"CL803_24",58,"m","Cold","Control",0.156577582671445,0.168400559992213,0.955757787317576,0.00839639148501403,-0.357613272762301,0.0625883721773081,0.366781740268201,-0.093823085534193,0.143472522064208
"6",2911,"CL803_24",58,"f","Cold","CORT",-0.255323357020881,-0.341244214914372,-0.524070772550911,0.00876662202131475,0.0919675249746449,-0.00948400906339058,0.238207031776806,NA,NA
"7",2919,"CL806_24",62,"f","Cold","CORT",-0.341141807712585,-0.20608617927394,-0.187635394504354,0.00855730036834502,-0.337065382110367,-0.0525333662590139,0.336348576133332,-0.221083388897669,0.203529702306282
"8",2922,"CL807_24",58,"f","Cold","Control",0.296027617542156,-0.178081250395575,0.855855648432782,0.00816859427822859,0.146139380260085,0.207859945212554,0.208515130753576,NA,NA
"9",2924,"CL807_24",60,"m","Cold","CORT",-0.085695230785082,-0.181653096354804,-0.582705087979541,0.00920996604973117,0.387272811253682,1.00837062981148,0.933482834512946,-0.130283614437857,0.203394660951974
"10",2926,"CL808_24",58,"f","Cold","Control",0.709635477518194,-0.637684715033922,0.350213419566173,0.00788715550713046,1.29137234753664,1.36248414885623,0.672459813768675,-0.100351830379202,0.172024022254868
"11",2928,"CL808_24",58,"m","Cold","Control",-0.89746365843044,1.64853916445703,0.301640532758914,0.00926551360631191,0.197832045026076,-0.0425947748761482,-0.0330562414988949,NA,NA
"12",2930,"CL808_24",58,"f","Cold","CORT",0.814745922850115,0.844162867930493,-0.662411483391244,0.0100888213240986,-0.605845740787029,-0.762248222164775,-0.747978892733765,-0.440499436804151,0.373280180519168
"13",2931,"CL808_24",76,"f","Hot","CORT",1.01266642724681,0.676646865718035,-0.462966402168595,0.00958997625777262,0.296644029131867,0.0479408683033215,0.0533408665040465,NA,NA
"14",2950,"CL813_24",76,"m","Hot","CORT",-0.460187754170391,0.157512280201182,-0.224165832443656,0.00893837588407761,-0.686682496969122,-0.879725295016282,-1.13790354761991,-0.471887633174385,-0.5423332493353
"15",2951,"CL813_24",76,"f","Hot","CORT",0.542312097242639,-0.232055475417257,0.0902659359157111,0.00869931184915299,-0.474381070947248,-0.649675264341147,-0.667023959770586,-0.123654427364463,-0.262369191682532
"16",2952,"CL813_24",58,"m","Cold","Control",0.435545631428997,-0.0413135452707981,-0.57837088637662,0.00927320468423368,0.531049413557384,1.07834075645891,0.797375050282246,NA,NA
"17",2953,"CL813_24",60,"m","Cold","CORT",0.738783887142056,0.338972685229604,-0.373108161842151,0.00945667512816099,-0.0307690839158902,0.297141214052323,0.647905051370814,0.170942628488003,0.0799806612930091
"18",2958,"CL815_24",55,"f","Cold","CORT",-0.193349456688903,-0.0606441109763295,0.204008823211236,0.00844632731479099,0.326131297135938,0.20016403050233,0.129036050747396,NA,NA
"19",2959,"CL815_24",58,"m","Cold","Control",-0.254496570110679,-0.262076551408212,0.0385564389642029,0.00855430723779283,-0.0876058319788835,-0.0885922790261227,0.111358305025724,NA,NA
"20",2960,"CL815_24",55,"m","Cold","CORT",-0.781817586652975,0.636722130099453,-0.873761576389997,0.00954018010390452,-0.773343159247732,-0.606529406148859,-0.895908470535823,0.388600937397752,0.515613952361737
"21",2961,"CL815_24",76,"m","Hot","CORT",-0.154915262118272,-0.563160284820785,0.17278464092582,0.00792370060261244,-1.47135905212772,-1.30773280106008,-1.88626980383508,0.0508639444540365,0.19866409978721
"22",2967,"CL817_24",55,"m","Cold","CORT",-0.419720689952061,-0.0390476443961936,-0.348642300990416,0.00882893093836913,0.762735270016415,0.538852029916929,0.248729750030998,-0.721787897395638,-1.10489058511844
"23",2968,"CL817_24",58,"f","Cold","Control",-0.239266197257329,0.224024684556248,0.53392518240396,0.00848610733382137,0.0869602098505764,0.160001583091047,0.223161933333557,NA,NA
"24",2970,"CL817_24",76,"f","Hot","CORT",0.102206815261523,-0.620112958814864,0.174240022493952,0.00821194968029344,0.630616713433654,0.228086705646477,-0.0444782013665653,0.0119928020691391,0.215656792873616
"25",2971,"CL817_24",58,"m","Cold","Control",-0.176828257215387,-0.124228065273668,0.473849102968425,0.00828542115704718,-0.454839446103488,-0.0298565992113324,0.287663374188852,0.616755459173707,0.308485073563357
"26",2981,"CL820_24",53,"f","Cold","CORT",-0.969973458131246,1.31381304427272,-0.0245332434025339,0.0091019903550437,0.0309791825329657,-0.145293497367376,-0.102504095127108,NA,NA
"27",2982,"CL820_24",69,"f","Hot","Control",-0.476739611652656,0.0642761033693089,-0.244183101720411,0.00876239923198603,-0.875661218362058,-1.36733811138164,-1.15504207939365,-0.75779643627157,-0.828564342256109
"28",2983,"CL820_24",53,"m","Cold","Control",0.721788861858863,-0.19226492831777,0.764568183415837,0.00829414582344652,-0.201357729945062,-0.431542683814723,-0.35883260135941,NA,NA
"29",2984,"CL820_24",72,"m","Hot","Control",0.361191486026559,-0.423075223910138,-0.103338895385613,0.00849756671709551,-0.361336607877648,0.0457571825766827,0.230922657512673,0.11333901050935,0.140435531450902
"30",2993,"CL822_24",72,"f","Hot","CORT",-0.396824210788914,-0.0658278472803324,-0.167834223322906,0.00883396760836176,0.286634730255516,0.181218619573673,0.0932714024428124,NA,NA
"31",2995,"CL822_24",53,"m","Cold","CORT",0.115016345317229,-0.416270500180699,0.34084862861782,0.00824797283437832,0.0636244199755036,0.144113987144579,0.19746449783394,NA,NA
"32",2997,"CL822_24",69,"m","Hot","Control",-0.514752993866442,0.189386537954554,-0.266643979001092,0.00892323476937634,1.0022604893864,0.641982575584053,0.215053179527636,-0.0666534627561186,-0.0492812223528937
"33",3009,"CL825_24",58,"f","Cold","Control",0.375693285516893,0.106370144495947,-0.660313038366891,0.0094090973450806,-0.646218333346423,-0.724878809386482,-0.687017810426492,-0.306559725253089,-0.319418499799654
