"","lizard_id","trt","sex","current_enclosure","egg_id","clutch","egg_enclosure","egg_date","hatch_date","start_date","age","death_date","liz_status","mortality","notes","maze","group","day","batch","choice","errors","arm_chosen","obs","temp","cort"
"27",2981,"B_23","f","E837_23","EG2981","CL820_24","E050_F120","4/12/2023","24/1/2024","17/3/2024",53,NA,"ALIVE",0,"",2,"R",1,18,0,1,"N","","Cold","CORT"
"28",2982,"A_28","f","E078_23","EG2982","CL820_24","E050_F120","4/12/2023","8/1/2024","17/3/2024",69,NA,"ALIVE",0,"",3,"S",1,19,0,5,"N","","Hot","Control"
"29",2983,"A_23","m","E633_23","EG2983","CL820_24","E050_F120","4/12/2023","24/1/2024","17/3/2024",53,NA,"ALIVE",0,"",3,"B",1,2,0,6,"N","","Cold","Control"
"30",2984,"A_28","m","E564_23","EG2984","CL820_24","E050_F120","4/12/2023","5/1/2024","17/3/2024",72,NA,"ALIVE",0,"",2,"C",1,3,0,6,"SE","","Hot","Control"
"31",2993,"B_28","f","E569_23","EG2993","CL822_24","E051_F120","4/12/2023","5/1/2024","17/3/2024",72,NA,"ALIVE",0,"",2,"P",1,16,0,4,"N","","Hot","CORT"
"32",2995,"B_23","m","E1102_23","EG2995","CL822_24","E051_F120","4/12/2023","24/1/2024","17/3/2024",53,NA,"ALIVE",0,"Dented",3,"R",1,18,0,6,"S","","Cold","CORT"
"33",2997,"A_28","m","E510_23","EG2997","CL822_24","E051_F120","4/12/2023","8/1/2024","17/3/2024",69,NA,"ALIVE",0,"Dented",4,"D",1,4,0,7,NA,"","Hot","Control"
"34",3009,"A_23","f","E1024_23","EG3009","CL825_24","E011_M/E024_M","4/12/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",3,"G",1,7,0,6,"S","","Cold","Control"
"35",3014,"A_28","f","E0154_23","EG3014","CL827_24","E019_M","4/12/2023","3/1/2024","17/3/2024",74,NA,"ALIVE",0,"",4,"F",1,6,0,4,"N","Tail lost","Hot","Control"
"36",3023,"B_28","f","E0274_23","EG3023","CL830_24","E015_M","4/12/2023","3/1/2024","17/3/2024",74,NA,"ALIVE",0,"",1,"P",1,16,0,3,"NW","","Hot","CORT"
