season,lizard_id,tc,species,trt,sex,current_enclosure,egg_id,clutch,egg_enclosure,egg_date,egg_mass,egg_length,egg_width,hatch_date,hatch_mass,hatch_svl,hatch_tl,rm1_date,rm1_mass,rm1_svl,rm1_tl,death_date,liz_status,mortality,notes,tissue_box,mating_enclosure,post_extract_mass,yolk_reduction,hatch_total,feeding_expt,metabolism,behaviour,feed_date_start,metab_start_date,growth,thanatosis,rm_notes,cohort,mesocosm,Experiments_24
2023/24,LD2981_23,,delicata,B_23,,E837_23,EG2981,CL820_24,E050_F120,4/12/2023,0.171,7.71,5.94,24/1/2024,0.108,18,25,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD2982_23,,delicata,A_28,,E078_23,EG2982,CL820_24,E050_F120,4/12/2023,0.136,7.49,5.69,8/1/2024,0.075,16,22,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD2983_23,,delicata,A_23,,E633_23,EG2983,CL820_24,E050_F120,4/12/2023,0.145,7.54,5.88,24/1/2024,0.109,17,24,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD2993_23,,delicata,B_28,,E569_23,EG2993,CL822_24,E051_F120,4/12/2023,0.126,8.49,5.15,5/1/2024,0.103,18,26,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD2995_23,,delicata,B_23,,E1102_23,EG2995,CL822_24,E051_F120,4/12/2023,0.132,8.94,5.28,24/1/2024,0.127,19,28,,,,,,ALIVE,0,Dented,,,,,,,,,,,,,,,,Spatial
2023/24,LD2997_23,,delicata,A_28,,E510_23,EG2997,CL822_24,E051_F120,4/12/2023,0.124,9.57,4.76,8/1/2024,0.121,19,31,,,,,,ALIVE,0,Dented,,,,,,,,,,,,,,,,Spatial
2023/24,LD3009_23,,delicata,A_23,,E1024_23,EG3009,CL825_24,E011_M/E024_M,4/12/2023,0.175,8.55,5.93,19/1/2024,0.1,17,25,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD3023_23,,delicata,B_28,,E0274_23,EG3023,CL830_24,E015_M,4/12/2023,0.174,8.53,6.27,3/1/2024,0.101,18,24,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD3025_23,,delicata,A_23,,E098_23,EG3025,CL830_24,E015_M,4/12/2023,0.183,8.05,6.41,19/1/2024,0.108,19,25,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD3027_23,,delicata,A_23,,E1022_23,EG3027,CL830_24,E015_M,4/12/2023,0.17,8.34,6.14,19/1/2024,0.099,19,25,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD3031_23,,delicata,A_23,,E720_23,EG3031,CL831_24,E033_F120,4/12/2023,0.163,7.89,6.09,22/1/2024,0.108,18,25,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD3033_23,,delicata,A_28,,E095_23,EG3033,CL831_24,E033_F120,4/12/2023,0.14,8.26,5.78,3/1/2024,0.093,17,24,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD3034_23,,delicata,B_23,,E1021_23,EG3034,CL831_24,E033_F120,4/12/2023,0.099,8.44,4.99,19/1/2024,0.108,19,25,,,,,,ALIVE,0,Dented/dessicated,,,,,,,,,,,,,,,,Spatial
2023/24,LD3038_23,,delicata,A_23,,E133_23,EG3038,CL833_24,E008_F120,4/12/2023,0.143,8.47,5.33,19/1/2024,0.129,19,29,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD3039_23,,delicata,B_23,,E617_23,EG3039,CL833_24,E008_F120,4/12/2023,0.138,8.27,5.51,22/1/2024,0.123,20,21,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
2023/24,LD3041_23,,delicata,B_28,,E198_23,EG3041,CL833_24,E008_F120,4/12/2023,0.159,8.75,5.76,1/1/2024,,,,,,,,,ALIVE,0,,,,,,,,,,,,,,,,,Spatial
