plate,specimen,tube,tube.no,.no,ch,n,min,median,max,geo.mean,arith.mean,sd,se
1,Specimen_001,A3,A03,3,percp.cy5.5,11458,1.424881643,2.249931764,2.983084767,2.234974267,2.355540567,0.336030359,0.003139237
1,Specimen_001,A3,A03,3,ssc,11458,1.997386391,2.795601895,3.556905269,2.785828548,2.924645014,0.356910691,0.003334304
1,Specimen_001,A4,A04,4,alexa.fluor.488,6478,2.004321374,2.898176445,3.522939549,2.86866979,2.968754237,0.311135053,0.003865703
1,Specimen_001,A4,A04,4,apc,6478,1.0366289,1.780173235,2.398426144,1.756589607,1.858157843,0.308423249,0.00383201
1,Specimen_001,A4,A04,4,buv.496,6478,1.68663629,2.448165037,3.07435924,2.425730713,2.523055664,0.302574166,0.003759338
1,Specimen_001,A4,A04,4,fsc,6478,2.285692331,3.059972181,3.67817228,3.03836109,3.140085832,0.308333984,0.003830901
1,Specimen_001,A4,A04,4,pe,6478,1.169086364,1.699143691,2.175453823,1.677741402,1.737104873,0.233400138,0.002899884
1,Specimen_001,A4,A04,4,percp.cy5.5,6478,1.411619725,2.269045717,2.911796597,2.243558215,2.349742167,0.319472752,0.003969295
1,Specimen_001,A4,A04,4,ssc,6478,2.121231445,2.822037181,3.453471234,2.809815866,2.911162552,0.305205447,0.00379203
1,Specimen_001,A5,A05,5,alexa.fluor.488,13094,2.071145302,2.80685803,3.440940544,2.806149194,2.897072336,0.2868614,0.002506894
1,Specimen_001,A5,A05,5,apc,13094,0.971275833,1.708930535,2.40626759,1.683997834,1.792360056,0.317762838,0.002776943
1,Specimen_001,A5,A05,5,buv.496,13094,1.574609933,2.239424626,2.861474683,2.241556563,2.329177314,0.279816759,0.00244533
1,Specimen_001,A5,A05,5,fsc,13094,2.232029964,2.95958512,3.644288873,2.955737771,3.064288424,0.312325992,0.00272943
1,Specimen_001,A5,A05,5,pe,13094,1.193681026,2.130848195,3.052486154,2.117760178,2.299283724,0.411807212,0.003598801
1,Specimen_001,A5,A05,5,percp.cy5.5,13094,1.474216281,2.219584534,2.896195424,2.212083796,2.313346477,0.305002033,0.002665426
1,Specimen_001,A5,A05,5,ssc,13094,2.02448568,2.702602852,3.409222809,2.707747403,2.815646134,0.309956516,0.002708723
1,Specimen_001,A6,A06,6,alexa.fluor.488,9361,1.933487303,2.770704759,3.419261652,2.75539765,2.862329523,0.319050931,0.003297607
1,Specimen_001,A6,A06,6,apc,9361,0.971275833,1.715334668,2.365562844,1.68936976,1.79746353,0.318054824,0.003287312
1,Specimen_001,A6,A06,6,buv.496,9361,1.638489257,2.370605601,3.054632222,2.351485791,2.456595529,0.312422649,0.003229099
1,Specimen_001,A6,A06,6,fsc,9361,2.25968945,3.024074987,3.669670151,3.010236783,3.116686793,0.312808043,0.003233083
1,Specimen_001,A6,A06,6,pe,9361,1.260071406,2.209032216,3.053477979,2.194561568,2.367724276,0.40512041,0.004187193
1,Specimen_001,A6,A06,6,percp.cy5.5,9361,1.36921585,2.182414644,2.854063034,2.171207491,2.280753755,0.320219692,0.003309687
1,Specimen_001,A6,A06,6,ssc,9361,2.094121612,2.786893334,3.457488303,2.786214593,2.893545779,0.311032417,0.00321473
1,Specimen_001,A7,A07,7,alexa.fluor.488,10077,1.95712819,2.799753992,3.543695632,2.791892715,2.90839613,0.328105196,0.003268492
1,Specimen_001,A7,A07,7,apc,10077,0.971275833,1.763427994,2.52654604,1.746870203,1.874380495,0.344023335,0.003427064
1,Specimen_001,A7,A07,7,buv.496,10077,1.45024912,2.197004753,2.90031251,2.193934714,2.301329648,0.312083991,0.003108894
1,Specimen_001,A7,A07,7,fsc,10077,2.218377964,3.048589394,3.826374176,3.032817024,3.168780756,0.353449785,0.003520968
1,Specimen_001,A7,A07,7,pe,10077,1.11527759,1.774370957,2.426088131,1.769241902,1.867790227,0.298492878,0.002973503
1,Specimen_001,A7,A07,7,percp.cy5.5,10077,1.877371355,2.767749358,3.59117595,2.759477021,2.898194078,0.357916145,0.003565461
1,Specimen_001,A7,A07,7,ssc,10077,2.014520545,2.808481073,3.603036056,2.80749329,2.949131846,0.358707687,0.003573346
1,Specimen_001,A8,A08,8,alexa.fluor.488,5342,1.539076128,2.498861681,3.267875419,2.457908909,2.605279554,0.379569255,0.005193248
1,Specimen_001,A8,A08,8,apc,5342,0.934498446,1.702430517,2.419030033,1.682317172,1.8027307,0.335434415,0.004589398
1,Specimen_001,A8,A08,8,buv.496,5342,1.330413804,2.15518415,3.028123725,2.122222922,2.273590328,0.375724731,0.005140648
1,Specimen_001,A8,A08,8,fsc,5342,2.23034674,3.112578207,3.869827595,3.084215392,3.218929373,0.357526302,0.004891658
1,Specimen_001,A8,A08,8,pe,5342,1.143014818,1.786751428,2.407492875,1.789012475,1.890045763,0.302646022,0.004140788
1,Specimen_001,A8,A08,8,percp.cy5.5,5342,1.91275332,2.90036709,3.708199864,2.863867516,3.023820119,0.398244086,0.005448756
1,Specimen_001,A8,A08,8,ssc,5342,2.186956344,2.938619788,3.618361931,2.930965044,3.037306466,0.312089982,0.00427
1,Specimen_001,A9,A09,9,alexa.fluor.488,7859,1.921166059,2.751433091,3.435621446,2.737546664,2.846816805,0.319769957,0.003607065
1,Specimen_001,A9,A09,9,apc,7859,0.971275833,1.727866438,2.438700543,1.715102727,1.840175367,0.341596214,0.00385327
1,Specimen_001,A9,A09,9,buv.496,7859,2.097257331,2.940640978,3.717104403,2.919048109,3.049593463,0.351540036,0.003965438
1,Specimen_001,A9,A09,9,fsc,7859,2.223547875,3.068623667,3.819740013,3.047326798,3.181446848,0.353196688,0.003984125
1,Specimen_001,A9,A09,9,pe,7859,1.085647299,1.626134966,2.16280328,1.610979927,1.676246857,0.244058013,0.00275302
1,Specimen_001,A9,A09,9,percp.cy5.5,7859,1.338456516,2.136720567,2.842234702,2.122842117,2.237125443,0.327462199,0.003693835
1,Specimen_001,A9,A09,9,ssc,7859,2.037426498,2.838723182,3.575303333,2.830348751,2.966096334,0.353193842,0.003984093
1,Specimen_002,B1,B01,13,alexa.fluor.488,7295,0.913813868,1.704150536,2.561339956,1.711104157,1.87029446,0.376465433,0.004407704
1,Specimen_002,B1,B01,13,apc,7295,1.005180508,2.287891251,3.521922245,2.238208342,2.538654291,0.55640388,0.006514446
1,Specimen_002,B1,B01,13,buv.496,7295,2.237292368,2.658726677,3.15606432,2.677019064,2.736941109,0.226220349,0.002648616
1,Specimen_002,B1,B01,13,fsc,7295,1.06295785,2.18224341,3.320810767,2.190932579,2.459375492,0.501389977,0.005870337
1,Specimen_002,B1,B01,13,pe,7295,1.11527759,1.948021539,2.794334678,1.967980673,2.140542511,0.392998082,0.004601271
1,Specimen_002,B1,B01,13,percp.cy5.5,7295,1.113943352,2.477410706,3.666910932,2.43624019,2.748899787,0.571376701,0.00668975
1,Specimen_002,B1,B01,13,ssc,7295,1.539076128,2.398981077,3.329316525,2.382595885,2.53048839,0.367038601,0.004297334
